name	title	slot_uri	comments	description	examples	in_subset	keywords	multivalued	pattern	range	recommended	required	string_serialization	structured_pattern	Expected_value	Preferred_unit
window_cover	window covering	MIXS:0000850		The type of window covering	{'value': 'curtains'}		window			WindowCoverEnum						
window_horiz_pos	window horizontal position	MIXS:0000851		The horizontal position of the window on the wall	{'value': 'middle'}		window			WindowHorizPosEnum						
window_loc	window location	MIXS:0000852		The relative location of the window within the room	{'value': 'west'}		location|window			CompassDirections8Enum						
window_mat	window material	MIXS:0000853		The type of material used to finish a window	{'value': 'wood'}		material|window			WindowMatEnum						
window_open_freq	window open frequency	MIXS:0000246		The number of times windows are opened per week			frequency|window			integer						
window_size	window area/size	MIXS:0000224		The window's length and width			window			string			{float} {unit} x {float} {unit}		measurement value	inch, meter
window_status	window status	MIXS:0000855		Defines whether the windows were open or closed during environmental testing	{'value': 'open'}		status|window			WindowStatusEnum						
window_type	window type	MIXS:0000856		The type of windows	{'value': 'fixed window'}		type|window			WindowTypeEnum						
window_vert_pos	window vertical position	MIXS:0000857		The vertical position of the window on the wall	{'value': 'middle'}		window			WindowVertPosEnum						
window_water_mold	window signs of water/mold	MIXS:0000854		Signs of the presence of mold or mildew on the window	{'value': 'no presence of mold visible'}		window			MoldVisibilityEnum						
