enum	permissible_values	suspect	single	source
nucl_acid_ext_enum	{PMID}	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
nucl_acid_ext_enum	{URL}	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
otu_class_appr_enum	{ANI cutoff};{AF cutoff};{clustering method}	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
otu_db_enum	{database};{version}	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
otu_seq_comp_appr_enum	{software};{version};{parameters}	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
pcr_cond_enum	initial denaturation:degrees_minutes;annealing:degrees_minutes;elongation:degrees_minutes;final elongation:degrees_minutes;total cycles	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
pred_genome_type_enum	DNA	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
pred_genome_type_enum	RNA	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
pred_genome_type_enum	dsDNA	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
pred_genome_type_enum	dsRNA	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
pred_genome_type_enum	mixed	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
pred_genome_type_enum	ssDNA	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
pred_genome_type_enum	ssRNA	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
pred_genome_type_enum	ssRNA (+)	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
pred_genome_type_enum	ssRNA (-)	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
pred_genome_type_enum	uncharacterized	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
ref_biomaterial_enum	{DOI}	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
ref_biomaterial_enum	{PMID}	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
ref_biomaterial_enum	{URL}	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
ref_db_enum	{database};{version};{reference}	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
samp_collec_device_enum	{termLabel} {termID}	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
samp_collec_device_enum	{text}	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
samp_collec_method_enum	{DOI}	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
samp_collec_method_enum	{PMID}	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
samp_collec_method_enum	{URL}	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
samp_collec_method_enum	{text}	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
samp_taxon_id_enum	{text} NCBI:txid	True	True	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
seq_meth_enum	{termLabel} {termID}	True	False	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
